path_id, q1_end, q2_end, q3_end, q1_mid, q2_mid, q3_mid, t_total
     38, 136   , -29   ,     96, 139   , -32   ,    216,      24
     39, 101   , -33   ,     87, -106  , -60   ,     96,      24
     40, 130   , 0     ,    217, 106   , -43   ,     97,      20
     41, 115   , -23   ,    184, -117  , -49   ,     77,      24
     42, -107  , -25   ,    181, 140   , 7     ,     78,      16
     43, -139  , -54   ,     64, 140   , -25   ,    197,      18
     44, 111   , -2    ,    190, -121  , 10    ,     60,      20
     45, 119   , -31   ,    185, 111   , -28   ,    183,      22
     46, -107  , -53   ,    208, -137  , -50   ,    208,      22
     47, -138  , -21   ,     80, -117  , -30   ,     83,      24
     48, 109   , -43   ,     67, -115  , -54   ,     82,      18
     49, 111   , -26   ,    211, -122  , -56   ,    223,      22
     50, -130  , -39   ,     66, -104  , -20   ,     83,      20
     51, -132  , -36   ,    184, 106   , -42   ,    198,      16
     52, -125  , -33   ,    184, -126  , -56   ,     90,      24
     53, 114   , -2    ,     99, 126   , -32   ,    209,      16
     54, 115   , 15    ,    201, 138   , 14    ,     69,      20
     55, -129  , -56   ,    219, -132  , 15    ,    214,      18
     56, -138  , -48   ,     79, -138  , -41   ,     92,      20
     57, 150   , 6     ,    219, -145  , -31   ,    187,      16
     58, -107  , -15   ,     89, 133   , -29   ,    212,      22
     59, 102   , 10    ,     64, -149  , -46   ,     85,      24
     60, -132  , 12    ,    214, -145  , 8     ,     85,      20
     61, 105   , 0     ,    212, -135  , -27   ,     72,      20
     62, -148  , 11    ,    203, -145  , -50   ,    209,      24
     63, 108   , -25   ,     65, 129   , -51   ,    185,      18
     64, 145   , -36   ,    204, -146  , -39   ,     79,      18
     65, -105  , -8    ,    191, 138   , -7    ,    189,      24
     66, 117   , -7    ,    208, 139   , -34   ,     60,      22
     67, -103  , -53   ,     60, 128   , -33   ,     84,      18
     68, 147   , -12   ,     85, -114  , -32   ,     71,      22
     69, 143   , 1     ,     95, 134   , -34   ,    185,      18
     70, -115  , -4    ,     77, 147   , -46   ,     90,      16
     71, 131   , 2     ,     68, 122   , -60   ,    220,      20
     72, -140  , -3    ,     90, -140  , -35   ,     96,      22
     73, 107   , -28   ,     63, 126   , -41   ,     79,      22
     74, -149  , -3    ,     95, 103   , 12    ,    221,      24
     75, -128  , -6    ,     73, 121   , 14    ,    223,      22
     76, -150  , -36   ,     76, -117  , -12   ,    218,      18
     77, -148  , 3     ,    184, 123   , -45   ,    203,      22
     78, -147  , 0     ,    214, 104   , 7     ,     83,      20
     79, 100   , -37   ,    187, 115   , -3    ,    194,      24
     80, -136  , 11    ,    203, -120  , -8    ,     90,      22
     81, -141  , -7    ,     81, -133  , -5    ,     69,      22
     82, -150  , -33   ,    180, -105  , 5     ,    204,      20
     83, 114   , -1    ,     69, 140   , -5    ,     94,      20
     84, 149   , 10    ,    201, 124   , -47   ,     72,      18
     85, 122   , -12   ,     63, -134  , 6     ,     75,      20
     86, 129   , -10   ,     67, 128   , -30   ,    188,      18
     87, -120  , -50   ,    212, 145   , 8     ,     68,      16
     88, 101   , -32   ,     77, 123   , -16   ,     93,      18
     89, 132   , -50   ,     63, 134   , -30   ,    182,      16
     90, 101   , -46   ,     79, -138  , -8    ,     98,      18
     91, -121  , -40   ,     93, 144   , 10    ,     81,      24
     92, -143  , -29   ,    203, 100   , -55   ,     77,      18
     93, -150  , -15   ,     82, 131   , -37   ,     94,      20
     94, 111   , -24   ,    210, -115  , 12    ,     66,      18
     95, -100  , -55   ,     60, 103   , 7     ,    209,      24
     96, -103  , -9    ,     83, -106  , -32   ,     93,      22
     97, -145  , -13   ,    193, 132   , -20   ,     81,      24
     98, 111   , -52   ,    214, 121   , -47   ,     79,      22
     99, -141  , -32   ,     80, -118  , -13   ,     75,      20
    100, -106  , -18   ,    215, -103  , -39   ,     80,      20
    101, 128   , -41   ,    204, -106  , -40   ,    199,      24
    102, 141   , -43   ,    222, -139  , -22   ,     89,      24
    103, 138   , -33   ,     81, -130  , 3     ,     92,      20
    104, -126  , -12   ,    209, -141  , -21   ,     66,      16
    105, 128   , -21   ,     88, 144   , -15   ,     85,      22
    106, -145  , -30   ,     74, -137  , -10   ,    200,      18
    107, -117  , -51   ,    100, -114  , -56   ,     68,      18
    108, 105   , -40   ,    206, -116  , -22   ,     69,      24
    109, 117   , -11   ,    211, -126  , 1     ,    181,      18
    110, 115   , -32   ,    185, -108  , -47   ,     74,      22
    111, 112   , 13    ,     61, -138  , -7    ,    202,      16
    112, 111   , -14   ,     77, -134  , -55   ,    209,      18
    113, -132  , -10   ,    199, 103   , -13   ,     80,      24
    114, -119  , -36   ,    100, 109   , -52   ,     94,      24
    115, 104   , -18   ,     68, 127   , -57   ,    217,      22
    116, -127  , -35   ,    183, -127  , -22   ,     92,      16
    117, 124   , 13    ,    209, 143   , 0     ,    198,      24
    118, -143  , -4    ,    196, 112   , -44   ,     94,      22
    119, 146   , -1    ,    210, 125   , -46   ,     69,      24
    120, 102   , 3     ,    185, 118   , 9     ,    225,      20
    121, 135   , -15   ,     99, 134   , -44   ,     97,      18
    122, 102   , -53   ,     66, -115  , -29   ,    189,      24
    123, -150  , -45   ,    216, 139   , -19   ,     63,      20
    124, 127   , 10    ,     81, 142   , -30   ,    200,      24
    125, 128   , -30   ,     85, -107  , -54   ,     98,      20
    126, 144   , -20   ,    190, 126   , -20   ,    217,      20
    127, 109   , -42   ,     88, 136   , -37   ,     79,      20
    128, -122  , -46   ,    217, 104   , -16   ,    204,      22
    129, -140  , -20   ,    187, -146  , -12   ,     87,      24
    130, 134   , -36   ,     63, 128   , -55   ,    208,      16
    131, -144  , 11    ,    219, -140  , -48   ,    212,      22
    132, 127   , -17   ,     60, 142   , -56   ,    212,      18
    133, 112   , -36   ,     82, 124   , -31   ,    198,      24
    134, 145   , 4     ,    216, -132  , 7     ,    200,      18
    135, -111  , -39   ,     71, 114   , -24   ,     95,      24
    136, 108   , -44   ,     63, 128   , -35   ,     62,      24
    137, 117   , -23   ,     99, 142   , 6     ,     61,      16
    138, 130   , -4    ,     83, -146  , -53   ,     66,      16
    139, 109   , 6     ,    205, -127  , 1     ,     60,      16
    140, -150  , -2    ,    180, -143  , -51   ,     87,      24
    141, -107  , -49   ,    187, 150   , -47   ,     60,      16
    142, 121   , -45   ,     60, -115  , -55   ,     92,      22
    143, -101  , -52   ,     65, -139  , 3     ,     79,      20
    144, -113  , -22   ,    200, 137   , -53   ,    225,      20
    145, -101  , -33   ,     86, -132  , -27   ,     87,      24
    146, 109   , -50   ,    183, -148  , -34   ,     91,      22
    147, 121   , -50   ,     87, 116   , -52   ,    204,      24
    148, 139   , 12    ,    201, -101  , -34   ,     73,      24
    149, -122  , -30   ,    183, -107  , -30   ,    215,      18
    150, 115   , -49   ,    214, 126   , 8     ,    225,      16
    151, -122  , 2     ,    220, 103   , -22   ,    192,      24
    152, 121   , -7    ,     87, 111   , -4    ,    213,      20
    153, 114   , -3    ,    183, 119   , -35   ,    224,      24
    154, 132   , -3    ,    184, -107  , -51   ,     73,      24
    155, 125   , -58   ,     82, -119  , -17   ,    186,      18
    156, -132  , -51   ,     96, -123  , 3     ,     72,      24
    157, -119  , 10    ,    198, 138   , -55   ,     89,      22
    158, -148  , 13    ,     92, -107  , -23   ,     63,      18
    159, 126   , 12    ,    222, 116   , -55   ,    182,      24
    160, -109  , -49   ,     80, -121  , -30   ,     99,      24
    161, -105  , -49   ,     76, 122   , 1     ,     72,      22
    162, -134  , -49   ,     64, -122  , -33   ,     72,      18
    163, -105  , -4    ,    210, 113   , -6    ,    188,      20
    164, -135  , -47   ,     99, 121   , -55   ,    205,      20
    165, 100   , -20   ,     84, 134   , -35   ,     80,      18
    166, 113   , 8     ,    211, 139   , 8     ,    214,      16
    167, -127  , -27   ,    182, 150   , -4    ,     70,      16
    168, 111   , -47   ,     92, 130   , -33   ,    100,      16
    169, -122  , -33   ,    207, -112  , -51   ,    209,      20
    170, 112   , -49   ,     91, 106   , -60   ,    189,      24
    171, 119   , 2     ,    185, -103  , -14   ,     86,      16
    172, -116  , -3    ,     82, -117  , -37   ,     75,      18
    173, 146   , -9    ,     60, 124   , -5    ,    191,      24
    174, -109  , -24   ,     81, -128  , -58   ,    182,      24
    175, -105  , -41   ,     65, 144   , -28   ,     71,      20
    176, 114   , 3     ,     97, -121  , -27   ,     91,      18
    177, -138  , -36   ,    184, -105  , 3     ,    194,      24
    178, 104   , -22   ,    195, 128   , -19   ,     68,      24
    179, 133   , -55   ,     70, 107   , -51   ,     92,      18
    180, -140  , -28   ,     64, -141  , 6     ,     92,      22
    181, -103  , -26   ,     88, 121   , -11   ,     74,      18
    182, -131  , -49   ,     84, -118  , -33   ,     92,      16
    183, -135  , 10    ,     93, 137   , -24   ,    181,      22
    184, 141   , -12   ,     65, 127   , 10    ,    185,      16
    185, 137   , 10    ,     86, -105  , 11    ,    207,      24
    186, -148  , -60   ,    100, -120  , -37   ,    196,      20
    187, -116  , -46   ,     99, 109   , -14   ,    199,      22
    188, 101   , -21   ,    203, -145  , -7    ,    199,      22
    189, -114  , 4     ,     79, 142   , -39   ,    210,      18
    190, 127   , -23   ,     79, 121   , -42   ,     71,      16
    191, -122  , -8    ,    204, -118  , -54   ,     61,      16
    192, 144   , -54   ,     96, -137  , -42   ,    212,      22
    193, 132   , 15    ,     78, 105   , -29   ,    188,      18
    194, 122   , -23   ,    191, 128   , -49   ,    223,      16
    195, -112  , 1     ,     80, 122   , -39   ,    180,      24
    196, -127  , 13    ,    180, -138  , -57   ,     61,      24
    197, -128  , -60   ,    220, -114  , -57   ,    210,      16
    198, 116   , -55   ,    189, -132  , 10    ,     71,      24
    199, -102  , 1     ,    208, 110   , -2    ,     87,      20
    200, -106  , -7    ,    222, -120  , -53   ,     75,      18
